experiment	gene_identifier	log2_fc	n_trt	n_ctl	expression_ctl0	log10_p	log10_p_bh
2	292534_at	0.009966777	3	2	3.373	-0.011312875	-0.001530812
2	294103_at	-0.332225914	3	2	3.588	-0.546656088	-0.058638641
2	79246_at	1.315614618	3	2	1.891	-0.527601024	-0.057104265
2	288489_at	-0.235880399	3	2	2.177	-0.275677533	-0.034819732
2	24183_at	-0.544850498	3	2	1.863	-0.579701809	-0.059887986
2	63852_at	-0.136212625	3	2	2.45	-0.085693108	-0.011173067
2	57027_at	-0.714285714	3	2	2.693	-1.253906666	-0.087141226
2	361286_at	0.594684385	3	2	3.234	-1.038635484	-0.079960032
2	296462_at	0.149501661	3	2	2.902	-0.21827485	-0.028259783
2	303504_at	-0.059800664	3	2	2.472	-0.08259788	-0.010894496
2	304336_at	-0.059800664	3	2	1.816	-0.057910032	-0.007627698
2	298452_at	0.069767442	3	2	2.355	-0.103117184	-0.013117318
2	314981_at	0.156146179	3	2	3.118	-0.191140701	-0.023582875
2	100366119_at	0.358803987	3	2	3.176	-0.242823981	-0.031876968
2	100361007_at	1.299003322	3	2	1.894	-0.390904037	-0.04563942
2	313678_at	-0.913621262	3	2	2.27	-0.751210532	-0.065116852
2	360483_at	0.405315615	3	2	2.236	-0.656844548	-0.065116852
2	499570_at	1.255813953	3	2	2.612	-0.998865788	-0.078888388
2	29403_at	0.142857143	3	2	3.695	-0.146496184	-0.017948956
2	679532_at	-0.023255814	3	2	3.213	-0.027448161	-0.003848329
2	79122_at	0.418604651	3	2	2.855	-0.36843528	-0.043691448
2	296884_at	0.159468439	3	2	2.625	-0.06953002	-0.009372783
2	361668_at	0.169435216	3	2	1.573	-0.091173535	-0.011609482
2	303468_at	-0.299003322	3	2	1.884	-0.297493483	-0.037179492
2	100910949_at	1	3	2	1.764	-1.785350872	-0.134948232
2	292594_at	-2.455149502	3	2	1.524	-0.959030953	-0.078888388
2	682914_at	0.156146179	3	2	3.107	-0.227042773	-0.029259403
2	360461_at	-0.478405316	3	2	2.763	-0.678331855	-0.065116852
2	100911553_at	-0.544850498	3	2	2.265	-0.874414273	-0.071283867
2	360612_at	0.196013289	3	2	2.675	-0.241069038	-0.031835542
2	313536_at	-0.332225914	3	2	2.066	-0.356954531	-0.042868184
2	83611_at	-0.172757475	3	2	2.959	-0.164558597	-0.021381075
2	295619_at	1.993355482	3	2	1.42	-1.573550206	-0.106548712
2	288564_at	-0.408637874	3	2	2.616	-0.403778808	-0.046187636
2	498420_at	0.053156146	3	2	2.316	-0.051291639	-0.007430131
2	303382_at	-0.774086379	3	2	2.051	-0.784772069	-0.065449847
2	266730_at	0.03654485	3	2	3.393	-0.028952117	-0.004124426
2	25628_at	0.797342193	3	2	1.785	-0.679245328	-0.065116852
2	311637_at	0.877076412	3	2	2.812	-0.870674137	-0.070377788
2	297801_at	-0.920265781	3	2	1.243	-0.911204983	-0.074422121
2	306628_at	-0.737541528	3	2	2.633	-0.558676345	-0.059155736
2	114512_at	0.431893688	3	2	2.633	-0.611393129	-0.064249653
2	59108_at	-1.189368771	3	2	0.876	-0.42325593	-0.047540503
2	170808_at	0.451827243	3	2	1.949	-0.455553646	-0.04845451
2	114029_at	-1.727574751	3	2	1.055	-0.982051391	-0.078888388
2	362246_at	0.46179402	3	2	3.758	-0.797598965	-0.065618514
2	310689_at	0.049833887	3	2	2.607	-0.051587684	-0.007441871
2	499691_at	-0.249169435	3	2	2.775	-0.272691772	-0.034819732
2	29286_at	-0.043189369	3	2	4.262	-0.047344714	-0.007219152
2	500200_at	-0.259136213	3	2	2.86	-0.428655123	-0.04772978
2	291352_at	0.607973422	3	2	1.76	-0.394156372	-0.046077541
2	60563_at	-0.056478405	3	2	1.792	-0.052518553	-0.007459647
2	293688_at	1.956810631	3	2	4.083	-1.570662274	-0.106548712
2	361239_at	0.588039867	3	2	3.724	-0.540803327	-0.057979384
2	116484_at	-0.023255814	3	2	4.273	-0.029775564	-0.004206669
2	83462_at	-0.395348837	3	2	2.661	-0.244366226	-0.032026871
2	313139_at	-0.049833887	3	2	3.123	-0.067716595	-0.008915926
2	303164_at	-0.415282392	3	2	2.325	-0.706807069	-0.065116852
2	25480_at	-1.368770764	3	2	1.115	-0.673760969	-0.065116852
2	25433_at	0.146179402	3	2	1.878	-0.19815011	-0.024634704
2	307797_at	0.657807309	3	2	1.934	-0.25271759	-0.032830771
2	302553_at	-0.787375415	3	2	2.482	-0.565499099	-0.059314898
2	24952_at	0.372093023	3	2	1.142	-0.167177584	-0.02161317
2	63879_at	-1.661129568	3	2	2.607	-2.25170821	-0.243942607
2	54289_at	-3.790697674	3	2	0.404	-0.871821984	-0.070759984
2	312710_at	0.089700997	3	2	3.112	-0.131770371	-0.017437079
2	171059_at	-1.19269103	3	2	0.907	-0.578217225	-0.059775845
2	362433_at	0.322259136	3	2	1.829	-0.290567711	-0.036488869
2	29365_at	0.249169435	3	2	2.915	-0.411952631	-0.04654958
2	65275_at	0.378737542	3	2	2.103	-0.503724087	-0.052627084
2	81820_at	0.282392027	3	2	1.613	-0.162024275	-0.020941965
2	65140_at	0.398671096	3	2	1.48	-0.298424562	-0.037387834
2	290317_at	-1.019933555	3	2	2.101	-1.936988571	-0.148378072
2	294018_at	-0.285714286	3	2	2.373	-0.430084445	-0.04772978
2	25518_at	0.093023256	3	2	4.451	-0.108234423	-0.013740587
2	64012_at	-0.119601329	3	2	2.34	-0.101050968	-0.012856611
2	296478_at	-0.069767442	3	2	2.265	-0.09226397	-0.01166878
2	315744_at	-1.013289037	3	2	1.46	-0.450250871	-0.047745948
